1, 2077, m, 3025, f, 4172, m, 2002, f, 2077 2052 2047 2045 2005 2002 4172 2139 3025 , m2077 f2052 m2047 (m2045) f2005 f2002 (m4172) f2139 f3025 , MFFDDHDD, 2077 3025, 2002 4172, G1, 2, G-2, 0, 6, 2
22, 2457, m, 2035, f, 2008, m, 2861, f, 2457 2438 2437 2836 2861 2008 2006 2010 2015 2035 , m2457 m2438 f2437 (f2836) f2861 m2008 (m2006) f2010 m2015 f2035 , FMMDHFDSD, 2035 2457, 2008 2861, G2, 1, G-2, 1, 5, 4
23, 2032, m, 2037, f, 2012, m, 2010, f, 2032 2015 2010 2012 2842 2836 2437 2438 2037 , m2032 m2015 (f2010) m2012 (m2842) f2836 f2437 m2438 f2037 , FMHFDDSD, 2032 2037, 2010 2012, G2, 0, G-3, 1, 3, 5
24, 2032, m, 2037, f, 2012, m, 2010, f, 2032 2015 2010 2012 2843 2836 2437 2438 2037 , m2032 m2015 (f2010) m2012 (f2843) f2836 f2437 m2438 f2037 , FMHMDDSD, 2032 2037, 2010 2012, G2, 0, G-3, 1, 3, 5
25, 2033, m, 2038, f, 2012, m, 2010, f, 2033 2015 2010 2012 2842 2836 2437 2438 2038 , m2033 m2015 (f2010) m2012 (m2842) f2836 f2437 m2438 f2038 , FMHFDDSD, 2033 2038, 2010 2012, G2, 0, G-3, 1, 3, 5
26, 2033, m, 2038, f, 2012, m, 2010, f, 2033 2015 2010 2012 2843 2836 2437 2438 2038 , m2033 m2015 (f2010) m2012 (f2843) f2836 f2437 m2438 f2038 , FMHMDDSD, 2033 2038, 2010 2012, G2, 0, G-3, 1, 3, 5
27, 2457, m, 2035, f, 2012, m, 2010, f, 2457 2438 2437 2836 2842 2012 2010 2015 2035 , m2457 m2438 f2437 f2836 (m2842) m2012 (f2010) m2015 f2035 , FMMFSWSD, 2035 2457, 2010 2012, G3, 1, G-2, 0, 6, 2
28, 2457, m, 2035, f, 2012, m, 2010, f, 2457 2438 2437 2836 2843 2012 2010 2015 2035 , m2457 m2438 f2437 f2836 (f2843) m2012 (f2010) m2015 f2035 , FMMMSWSD, 2035 2457, 2010 2012, G3, 1, G-2, 0, 6, 2
29, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2842 2012 2010 2006 2162 , m2166 f2836 (m2842) m2012 f2010 (m2006) f2162 , MFSWFD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
30, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2843 2012 2010 2006 2162 , m2166 f2836 (f2843) m2012 f2010 (m2006) f2162 , MMSWFD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
31, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2842 2012 2010 2007 2162 , m2166 f2836 (m2842) m2012 f2010 (f2007) f2162 , MFSWMD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
32, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2843 2012 2010 2007 2162 , m2166 f2836 (f2843) m2012 f2010 (f2007) f2162 , MMSWMD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
33, 2032, m, 2037, f, 2015, m, 2021, f, 2032 2021 2015 2012 2842 2836 2437 2438 2037 , m2032 (f2021) m2015 m2012 (m2842) f2836 f2437 m2438 f2037 , MHFFDDSD, 2032 2037, 2015 2021, G1, 0, G-2, 2, 2, 6
34, 2032, m, 2037, f, 2015, m, 2021, f, 2032 2021 2015 2012 2843 2836 2437 2438 2037 , m2032 (f2021) m2015 m2012 (f2843) f2836 f2437 m2438 f2037 , MHFMDDSD, 2032 2037, 2015 2021, G1, 0, G-2, 2, 2, 6
35, 2033, m, 2038, f, 2015, m, 2021, f, 2033 2021 2015 2012 2842 2836 2437 2438 2038 , m2033 (f2021) m2015 m2012 (m2842) f2836 f2437 m2438 f2038 , MHFFDDSD, 2033 2038, 2015 2021, G1, 0, G-2, 2, 2, 6
36, 2033, m, 2038, f, 2015, m, 2021, f, 2033 2021 2015 2012 2843 2836 2437 2438 2038 , m2033 (f2021) m2015 m2012 (f2843) f2836 f2437 m2438 f2038 , MHFMDDSD, 2033 2038, 2015 2021, G1, 0, G-2, 2, 2, 6
37, 2457, m, 2035, f, 2015, m, 2021, f, 2457 2438 2437 2836 2842 2012 2015 2021 2035 , m2457 m2438 f2437 f2836 (m2842) m2012 m2015 (f2021) f2035 , FMMFSSWD, 2035 2457, 2015 2021, G2, 2, G-1, 0, 7, 1
38, 2457, m, 2035, f, 2015, m, 2021, f, 2457 2438 2437 2836 2843 2012 2015 2021 2035 , m2457 m2438 f2437 f2836 (f2843) m2012 m2015 (f2021) f2035 , FMMMSSWD, 2035 2457, 2015 2021, G2, 2, G-1, 0, 7, 1
39, 2367, m, 2370, f, 2036, m, 2031, f, 2367 2351 2036 2031 2015 2012 2842 2836 2437 2220 2370 , m2367 (f2351) m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2370 , MSWFFFDDDD, 2367 2370, 2031 2036, G0, 1, G-1, 3, 3, 7
40, 2367, m, 2370, f, 2036, m, 2031, f, 2367 2358 2036 2031 2015 2012 2842 2836 2437 2220 2370 , m2367 (m2358) m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2370 , FSWFFFDDDD, 2367 2370, 2031 2036, G0, 1, G-1, 3, 3, 7
41, 2367, m, 2370, f, 2036, m, 2031, f, 2367 2351 2036 2031 2015 2012 2843 2836 2437 2220 2370 , m2367 (f2351) m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2370 , MSWFFMDDDD, 2367 2370, 2031 2036, G0, 1, G-1, 3, 3, 7
42, 2367, m, 2370, f, 2036, m, 2031, f, 2367 2358 2036 2031 2015 2012 2843 2836 2437 2220 2370 , m2367 (m2358) m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2370 , FSWFFMDDDD, 2367 2370, 2031 2036, G0, 1, G-1, 3, 3, 7
43, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , FFDSWFFFDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
44, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , FMDSWFFFDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
45, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , FFDSWFFMDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
46, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , FMDSWFFMDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
47, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , FFDSWFFFDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
48, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , FMDSWFFFDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
49, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , FFDSWFFMDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
50, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , FMDSWFFMDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
51, 2445, m, 2381, f, 2036, m, 2031, f, 2445 2433 2437 2836 2842 2012 2015 2031 2036 2351 2324 2352 2381 , m2445 f2433 f2437 f2836 (m2842) m2012 m2015 f2031 m2036 f2351 (m2324) f2352 f2381 , MMMFSSDHMFDD, 2381 2445, 2031 2036, G1, 3, G0, 2, 8, 4
52, 2445, m, 2381, f, 2036, m, 2031, f, 2445 2433 2437 2836 2842 2012 2015 2031 2036 2351 2325 2352 2381 , m2445 f2433 f2437 f2836 (m2842) m2012 m2015 f2031 m2036 f2351 (f2325) f2352 f2381 , MMMFSSDHMMDD, 2381 2445, 2031 2036, G1, 3, G0, 2, 8, 4
53, 2445, m, 2381, f, 2036, m, 2031, f, 2445 2433 2437 2836 2843 2012 2015 2031 2036 2351 2324 2352 2381 , m2445 f2433 f2437 f2836 (f2843) m2012 m2015 f2031 m2036 f2351 (m2324) f2352 f2381 , MMMMSSDHMFDD, 2381 2445, 2031 2036, G1, 3, G0, 2, 8, 4
54, 2445, m, 2381, f, 2036, m, 2031, f, 2445 2433 2437 2836 2843 2012 2015 2031 2036 2351 2325 2352 2381 , m2445 f2433 f2437 f2836 (f2843) m2012 m2015 f2031 m2036 f2351 (f2325) f2352 f2381 , MMMMSSDHMMDD, 2381 2445, 2031 2036, G1, 3, G0, 2, 8, 4
55, 2445, m, 2384, f, 2036, m, 2031, f, 2445 2433 2437 2836 2842 2012 2015 2031 2036 2351 2324 2352 2384 , m2445 f2433 f2437 f2836 (m2842) m2012 m2015 f2031 m2036 f2351 (m2324) f2352 f2384 , MMMFSSDHMFDD, 2384 2445, 2031 2036, G1, 3, G0, 2, 8, 4
56, 2445, m, 2384, f, 2036, m, 2031, f, 2445 2433 2437 2836 2842 2012 2015 2031 2036 2351 2325 2352 2384 , m2445 f2433 f2437 f2836 (m2842) m2012 m2015 f2031 m2036 f2351 (f2325) f2352 f2384 , MMMFSSDHMMDD, 2384 2445, 2031 2036, G1, 3, G0, 2, 8, 4
57, 2445, m, 2384, f, 2036, m, 2031, f, 2445 2433 2437 2836 2843 2012 2015 2031 2036 2351 2324 2352 2384 , m2445 f2433 f2437 f2836 (f2843) m2012 m2015 f2031 m2036 f2351 (m2324) f2352 f2384 , MMMMSSDHMFDD, 2384 2445, 2031 2036, G1, 3, G0, 2, 8, 4
58, 2445, m, 2384, f, 2036, m, 2031, f, 2445 2433 2437 2836 2843 2012 2015 2031 2036 2351 2325 2352 2384 , m2445 f2433 f2437 f2836 (f2843) m2012 m2015 f2031 m2036 f2351 (f2325) f2352 f2384 , MMMMSSDHMMDD, 2384 2445, 2031 2036, G1, 3, G0, 2, 8, 4
59, 2404, m, 2399, f, 2036, m, 2031, f, 2404 2220 2437 2836 2842 2012 2015 2031 2036 2351 2324 2356 2399 , m2404 f2220 f2437 f2836 (m2842) m2012 m2015 f2031 m2036 f2351 (m2324) f2356 f2399 , MMMFSSDHMFDD, 2399 2404, 2031 2036, G1, 3, G0, 2, 8, 4
60, 2404, m, 2399, f, 2036, m, 2031, f, 2404 2220 2437 2836 2842 2012 2015 2031 2036 2351 2325 2356 2399 , m2404 f2220 f2437 f2836 (m2842) m2012 m2015 f2031 m2036 f2351 (f2325) f2356 f2399 , MMMFSSDHMMDD, 2399 2404, 2031 2036, G1, 3, G0, 2, 8, 4
61, 2404, m, 2399, f, 2036, m, 2031, f, 2404 2220 2437 2836 2843 2012 2015 2031 2036 2351 2324 2356 2399 , m2404 f2220 f2437 f2836 (f2843) m2012 m2015 f2031 m2036 f2351 (m2324) f2356 f2399 , MMMMSSDHMFDD, 2399 2404, 2031 2036, G1, 3, G0, 2, 8, 4
62, 2404, m, 2399, f, 2036, m, 2031, f, 2404 2220 2437 2836 2843 2012 2015 2031 2036 2351 2325 2356 2399 , m2404 f2220 f2437 f2836 (f2843) m2012 m2015 f2031 m2036 f2351 (f2325) f2356 f2399 , MMMMSSDHMMDD, 2399 2404, 2031 2036, G1, 3, G0, 2, 8, 4
63, 2464, m, 2461, f, 2036, m, 2031, f, 2464 2512 2511 2358 2036 2031 2015 2012 2842 2836 2437 2220 2461 , m2464 m2512 (m2511) m2358 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 , FFSSWFFFDDDD, 2461 2464, 2031 2036, G0, 2, G-1, 3, 5, 7
64, 2464, m, 2461, f, 2036, m, 2031, f, 2464 2512 2511 2358 2036 2031 2015 2012 2843 2836 2437 2220 2461 , m2464 m2512 (m2511) m2358 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 , FFSSWFFMDDDD, 2461 2464, 2031 2036, G0, 2, G-1, 3, 5, 7
65, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2351 2036 2031 2015 2012 2842 2836 2437 2220 2463 , m2466 f2212 (f2351) m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2463 , MMSWFFFDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
66, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2358 2036 2031 2015 2012 2842 2836 2437 2220 2463 , m2466 f2212 (m2358) m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2463 , MFSWFFFDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
67, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2351 2036 2031 2015 2012 2843 2836 2437 2220 2463 , m2466 f2212 (f2351) m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2463 , MMSWFFMDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
68, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2358 2036 2031 2015 2012 2843 2836 2437 2220 2463 , m2466 f2212 (m2358) m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2463 , MFSWFFMDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
69, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2006 2162 2166 2835 2437 2438 2037 , m2032 m2015 f2010 (m2006) f2162 m2166 (m2835) f2437 m2438 f2037 , FMFDHFDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
70, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2006 2162 2166 2836 2437 2438 2037 , m2032 m2015 f2010 (m2006) f2162 m2166 (f2836) f2437 m2438 f2037 , FMFDHMDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
71, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2007 2162 2166 2835 2437 2438 2037 , m2032 m2015 f2010 (f2007) f2162 m2166 (m2835) f2437 m2438 f2037 , FMMDHFDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
72, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2007 2162 2166 2836 2437 2438 2037 , m2032 m2015 f2010 (f2007) f2162 m2166 (f2836) f2437 m2438 f2037 , FMMDHMDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
73, 2373, m, 2376, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFFDDDDD, 2373 2376, 2032 2037, G0, 3, G-2, 3, 7, 8
74, 2373, m, 2376, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFMDDDDD, 2373 2376, 2032 2037, G0, 3, G-2, 3, 7, 8
75, 2373, m, 2543, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFFDDDDD, 2373 2543, 2032 2037, G0, 3, G-2, 3, 7, 8
76, 2373, m, 2543, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFMDDDDD, 2373 2543, 2032 2037, G0, 3, G-2, 3, 7, 8
77, 2032, m, 2037, f, 2436, m, 2437, f, 2032 2015 2012 2842 2836 2437 2436 2438 2037 , m2032 m2015 m2012 (m2842) f2836 f2437 (m2436) m2438 f2037 , FFFDDHSD, 2032 2037, 2436 2437, G1, 2, G-2, 0, 6, 2
78, 2032, m, 2037, f, 2436, m, 2437, f, 2032 2015 2012 2843 2836 2437 2436 2438 2037 , m2032 m2015 m2012 (f2843) f2836 f2437 (m2436) m2438 f2037 , FFMDDHSD, 2032 2037, 2436 2437, G1, 2, G-2, 0, 6, 2
79, 2438, m, 2440, f, 2032, m, 2037, f, 2438 2437 2836 2842 2012 2015 2032 2037 2440 , m2438 f2437 f2836 (m2842) m2012 m2015 m2032 f2037 (f2440) , MMFSSSWM, 2438 2440, 2032 2037, G0, 3, G1, 0, 7, 1
80, 2438, m, 2440, f, 2032, m, 2037, f, 2438 2437 2836 2843 2012 2015 2032 2037 2440 , m2438 f2437 f2836 (f2843) m2012 m2015 m2032 f2037 (f2440) , MMMSSSWM, 2438 2440, 2032 2037, G0, 3, G1, 0, 7, 1
81, 2442, m, 2449, f, 2032, m, 2037, f, 2442 2433 2437 2836 2842 2012 2015 2032 2037 2440 2796 2798 2530 2803 2449 , m2442 f2433 f2437 f2836 (m2842) m2012 m2015 m2032 f2037 f2440 f2796 (f2798) f2530 f2803 f2449 , MMMFSSSWMMMDDD, 2442 2449, 2032 2037, G1, 3, G0, 3, 8, 6
82, 2442, m, 2449, f, 2032, m, 2037, f, 2442 2433 2437 2836 2843 2012 2015 2032 2037 2440 2796 2798 2530 2803 2449 , m2442 f2433 f2437 f2836 (f2843) m2012 m2015 m2032 f2037 f2440 f2796 (f2798) f2530 f2803 f2449 , MMMMSSSWMMMDDD, 2442 2449, 2032 2037, G1, 3, G0, 3, 8, 6
83, 2032, m, 2037, f, 2835, m, 2836, f, 2032 2015 2012 2842 2836 2835 2437 2438 2037 , m2032 m2015 m2012 (m2842) f2836 (m2835) f2437 m2438 f2037 , FFFDHDSD, 2032 2037, 2835 2836, G2, 1, G-3, 0, 5, 3
84, 2032, m, 2037, f, 2835, m, 2836, f, 2032 2015 2012 2843 2836 2835 2437 2438 2037 , m2032 m2015 m2012 (f2843) f2836 (m2835) f2437 m2438 f2037 , FFMDHDSD, 2032 2037, 2835 2836, G2, 1, G-3, 0, 5, 3
85, 2032, m, 2037, f, 2842, m, 2843, f, 2032 2015 2012 2842 2843 2836 2437 2438 2037 , m2032 m2015 m2012 (m2842) (f2843) f2836 f2437 m2438 f2037 , FFFWDDSD, 2032 2037, 2842 2843, G3, 0, G-4, 0, 4, 4
86, 2032, m, 2037, f, 2842, m, 2843, f, 2032 2015 2012 2843 2842 2836 2437 2438 2037 , m2032 m2015 m2012 (f2843) (m2842) f2836 f2437 m2438 f2037 , FFMHDDSD, 2032 2037, 2842 2843, G3, 0, G-4, 0, 4, 4
87, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2006 2162 2166 2835 2437 2438 2038 , m2033 m2015 f2010 (m2006) f2162 m2166 (m2835) f2437 m2438 f2038 , FMFDHFDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
88, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2006 2162 2166 2836 2437 2438 2038 , m2033 m2015 f2010 (m2006) f2162 m2166 (f2836) f2437 m2438 f2038 , FMFDHMDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
89, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2007 2162 2166 2835 2437 2438 2038 , m2033 m2015 f2010 (f2007) f2162 m2166 (m2835) f2437 m2438 f2038 , FMMDHFDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
90, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2007 2162 2166 2836 2437 2438 2038 , m2033 m2015 f2010 (f2007) f2162 m2166 (f2836) f2437 m2438 f2038 , FMMDHMDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
91, 2373, m, 2376, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFFDDDDD, 2373 2376, 2033 2038, G0, 3, G-2, 3, 7, 8
92, 2373, m, 2376, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFMDDDDD, 2373 2376, 2033 2038, G0, 3, G-2, 3, 7, 8
93, 2373, m, 2543, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFFDDDDD, 2373 2543, 2033 2038, G0, 3, G-2, 3, 7, 8
94, 2373, m, 2543, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFMDDDDD, 2373 2543, 2033 2038, G0, 3, G-2, 3, 7, 8
95, 2033, m, 2038, f, 2436, m, 2437, f, 2033 2015 2012 2842 2836 2437 2436 2438 2038 , m2033 m2015 m2012 (m2842) f2836 f2437 (m2436) m2438 f2038 , FFFDDHSD, 2033 2038, 2436 2437, G1, 2, G-2, 0, 6, 2
96, 2033, m, 2038, f, 2436, m, 2437, f, 2033 2015 2012 2843 2836 2437 2436 2438 2038 , m2033 m2015 m2012 (f2843) f2836 f2437 (m2436) m2438 f2038 , FFMDDHSD, 2033 2038, 2436 2437, G1, 2, G-2, 0, 6, 2
97, 2438, m, 2440, f, 2033, m, 2038, f, 2438 2437 2836 2842 2012 2015 2033 2038 2440 , m2438 f2437 f2836 (m2842) m2012 m2015 m2033 f2038 (f2440) , MMFSSSWM, 2438 2440, 2033 2038, G0, 3, G1, 0, 7, 1
98, 2438, m, 2440, f, 2033, m, 2038, f, 2438 2437 2836 2843 2012 2015 2033 2038 2440 , m2438 f2437 f2836 (f2843) m2012 m2015 m2033 f2038 (f2440) , MMMSSSWM, 2438 2440, 2033 2038, G0, 3, G1, 0, 7, 1
99, 2442, m, 2449, f, 2033, m, 2038, f, 2442 2433 2437 2836 2842 2012 2015 2033 2038 2440 2796 2798 2530 2803 2449 , m2442 f2433 f2437 f2836 (m2842) m2012 m2015 m2033 f2038 f2440 f2796 (f2798) f2530 f2803 f2449 , MMMFSSSWMMMDDD, 2442 2449, 2033 2038, G1, 3, G0, 3, 8, 6
100, 2442, m, 2449, f, 2033, m, 2038, f, 2442 2433 2437 2836 2843 2012 2015 2033 2038 2440 2796 2798 2530 2803 2449 , m2442 f2433 f2437 f2836 (f2843) m2012 m2015 m2033 f2038 f2440 f2796 (f2798) f2530 f2803 f2449 , MMMMSSSWMMMDDD, 2442 2449, 2033 2038, G1, 3, G0, 3, 8, 6
