Anel, Ego0, SxEgo0, Alter0, SxAlter0, Ego1, SxEgo1, Alter1, SxAlter1, Percurso, BarryPercurso, Parente, Casal0, Casal1, Geração0, Lateral0, Geração1, Lateral1, Cnx0, Cnx1
11, 2077, m, 3025, f, 2004, m, 2005, f, 2077 2052 2047 2045 2005 2004 2002 2139 3025 , m2077 f2052 m2047 (m2045) f2005 (m2004) f2002 f2139 f3025 , MFFDHDDD, 2077 3025, 2004 2005, G2, 1, G-3, 0, 5, 3
12, 2077, m, 3025, f, 2004, m, 2005, f, 2077 2052 2047 2046 2005 2004 2002 2139 3025 , m2077 f2052 m2047 (f2046) f2005 (m2004) f2002 f2139 f3025 , MFMDHDDD, 2077 3025, 2004 2005, G2, 1, G-3, 0, 5, 3
13, 2822, m, 2163, f, 2004, m, 2005, f, 2822 2823 2006 2004 2005 2045 2163 , m2822 m2823 (m2006) m2004 f2005 (m2045) f2163 , FFSWFD, 2163 2822, 2004 2005, G1, 1, G0, 1, 4, 2
14, 2822, m, 2163, f, 2004, m, 2005, f, 2822 2823 2006 2004 2005 2046 2163 , m2822 m2823 (m2006) m2004 f2005 (f2046) f2163 , FFSWMD, 2163 2822, 2004 2005, G1, 1, G0, 1, 4, 2
15, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2842 2836 2861 , m2008 (m2006) f2010 m2012 (m2842) f2836 f2861 , FDHFDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
16, 2008, m, 2861, f, 2012, m, 2010, f, 2008 2006 2010 2012 2843 2836 2861 , m2008 (m2006) f2010 m2012 (f2843) f2836 f2861 , FDHMDD, 2008 2861, 2010 2012, G0, 1, G-1, 1, 3, 3
17, 2032, m, 2037, f, 2008, m, 2861, f, 2032 2015 2010 2006 2008 2861 2835 2437 2438 2037 , m2032 m2015 f2010 (m2006) m2008 f2861 (m2835) f2437 m2438 f2037 , FMFSWFDSD, 2032 2037, 2008 2861, G2, 1, G-2, 1, 5, 4
18, 2032, m, 2037, f, 2008, m, 2861, f, 2032 2015 2010 2006 2008 2861 2836 2437 2438 2037 , m2032 m2015 f2010 (m2006) m2008 f2861 (f2836) f2437 m2438 f2037 , FMFSWMDSD, 2032 2037, 2008 2861, G2, 1, G-2, 1, 5, 4
19, 2033, m, 2038, f, 2008, m, 2861, f, 2033 2015 2010 2006 2008 2861 2835 2437 2438 2038 , m2033 m2015 f2010 (m2006) m2008 f2861 (m2835) f2437 m2438 f2038 , FMFSWFDSD, 2033 2038, 2008 2861, G2, 1, G-2, 1, 5, 4
20, 2033, m, 2038, f, 2008, m, 2861, f, 2033 2015 2010 2006 2008 2861 2836 2437 2438 2038 , m2033 m2015 f2010 (m2006) m2008 f2861 (f2836) f2437 m2438 f2038 , FMFSWMDSD, 2033 2038, 2008 2861, G2, 1, G-2, 1, 5, 4
21, 2457, m, 2035, f, 2008, m, 2861, f, 2457 2438 2437 2835 2861 2008 2006 2010 2015 2035 , m2457 m2438 f2437 (m2835) f2861 m2008 (m2006) f2010 m2015 f2035 , FMFDHFDSD, 2035 2457, 2008 2861, G2, 1, G-2, 1, 5, 4
22, 2457, m, 2035, f, 2008, m, 2861, f, 2457 2438 2437 2836 2861 2008 2006 2010 2015 2035 , m2457 m2438 f2437 (f2836) f2861 m2008 (m2006) f2010 m2015 f2035 , FMMDHFDSD, 2035 2457, 2008 2861, G2, 1, G-2, 1, 5, 4
23, 2032, m, 2037, f, 2012, m, 2010, f, 2032 2015 2010 2012 2842 2836 2437 2438 2037 , m2032 m2015 (f2010) m2012 (m2842) f2836 f2437 m2438 f2037 , FMHFDDSD, 2032 2037, 2010 2012, G2, 0, G-3, 1, 3, 5
24, 2032, m, 2037, f, 2012, m, 2010, f, 2032 2015 2010 2012 2843 2836 2437 2438 2037 , m2032 m2015 (f2010) m2012 (f2843) f2836 f2437 m2438 f2037 , FMHMDDSD, 2032 2037, 2010 2012, G2, 0, G-3, 1, 3, 5
25, 2033, m, 2038, f, 2012, m, 2010, f, 2033 2015 2010 2012 2842 2836 2437 2438 2038 , m2033 m2015 (f2010) m2012 (m2842) f2836 f2437 m2438 f2038 , FMHFDDSD, 2033 2038, 2010 2012, G2, 0, G-3, 1, 3, 5
26, 2033, m, 2038, f, 2012, m, 2010, f, 2033 2015 2010 2012 2843 2836 2437 2438 2038 , m2033 m2015 (f2010) m2012 (f2843) f2836 f2437 m2438 f2038 , FMHMDDSD, 2033 2038, 2010 2012, G2, 0, G-3, 1, 3, 5
27, 2457, m, 2035, f, 2012, m, 2010, f, 2457 2438 2437 2836 2842 2012 2010 2015 2035 , m2457 m2438 f2437 f2836 (m2842) m2012 (f2010) m2015 f2035 , FMMFSWSD, 2035 2457, 2010 2012, G3, 1, G-2, 0, 6, 2
28, 2457, m, 2035, f, 2012, m, 2010, f, 2457 2438 2437 2836 2843 2012 2010 2015 2035 , m2457 m2438 f2437 f2836 (f2843) m2012 (f2010) m2015 f2035 , FMMMSWSD, 2035 2457, 2010 2012, G3, 1, G-2, 0, 6, 2
29, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2842 2012 2010 2006 2162 , m2166 f2836 (m2842) m2012 f2010 (m2006) f2162 , MFSWFD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
30, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2843 2012 2010 2006 2162 , m2166 f2836 (f2843) m2012 f2010 (m2006) f2162 , MMSWFD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
31, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2842 2012 2010 2007 2162 , m2166 f2836 (m2842) m2012 f2010 (f2007) f2162 , MFSWMD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
32, 2166, m, 2162, f, 2012, m, 2010, f, 2166 2836 2843 2012 2010 2007 2162 , m2166 f2836 (f2843) m2012 f2010 (f2007) f2162 , MMSWMD, 2162 2166, 2010 2012, G1, 1, G0, 1, 4, 2
33, 2993, m, 2994, f, 2014, m, 2019, f, 2993 6510 6841 6509 2019 2014 2010 2006 2823 2994 , m2993 m6510 (m6841) f6509 f2019 m2014 f2010 (m2006) m2823 f2994 , FFDDHMFSD, 2993 2994, 2014 2019, G0, 2, G0, 2, 5, 4
34, 2993, m, 2994, f, 2014, m, 2019, f, 2993 6510 6842 6509 2019 2014 2010 2006 2823 2994 , m2993 m6510 (f6842) f6509 f2019 m2014 f2010 (m2006) m2823 f2994 , FMDDHMFSD, 2993 2994, 2014 2019, G0, 2, G0, 2, 5, 4
35, 2032, m, 2037, f, 2015, m, 2021, f, 2032 2021 2015 2012 2842 2836 2437 2438 2037 , m2032 (f2021) m2015 m2012 (m2842) f2836 f2437 m2438 f2037 , MHFFDDSD, 2032 2037, 2015 2021, G1, 0, G-2, 2, 2, 6
36, 2032, m, 2037, f, 2015, m, 2021, f, 2032 2021 2015 2012 2843 2836 2437 2438 2037 , m2032 (f2021) m2015 m2012 (f2843) f2836 f2437 m2438 f2037 , MHFMDDSD, 2032 2037, 2015 2021, G1, 0, G-2, 2, 2, 6
37, 2033, m, 2038, f, 2015, m, 2021, f, 2033 2021 2015 2012 2842 2836 2437 2438 2038 , m2033 (f2021) m2015 m2012 (m2842) f2836 f2437 m2438 f2038 , MHFFDDSD, 2033 2038, 2015 2021, G1, 0, G-2, 2, 2, 6
38, 2033, m, 2038, f, 2015, m, 2021, f, 2033 2021 2015 2012 2843 2836 2437 2438 2038 , m2033 (f2021) m2015 m2012 (f2843) f2836 f2437 m2438 f2038 , MHFMDDSD, 2033 2038, 2015 2021, G1, 0, G-2, 2, 2, 6
39, 2457, m, 2035, f, 2015, m, 2021, f, 2457 2438 2437 2836 2842 2012 2015 2021 2035 , m2457 m2438 f2437 f2836 (m2842) m2012 m2015 (f2021) f2035 , FMMFSSWD, 2035 2457, 2015 2021, G2, 2, G-1, 0, 7, 1
40, 2457, m, 2035, f, 2015, m, 2021, f, 2457 2438 2437 2836 2843 2012 2015 2021 2035 , m2457 m2438 f2437 f2836 (f2843) m2012 m2015 (f2021) f2035 , FMMMSSWD, 2035 2457, 2015 2021, G2, 2, G-1, 0, 7, 1
41, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , FFDSWFFFDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
42, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , FMDSWFFFDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
43, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , FFDSWFFMDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
44, 2373, m, 2376, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , FMDSWFFMDDDDD, 2373 2376, 2031 2036, G0, 2, G-2, 3, 5, 8
45, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , FFDSWFFFDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
46, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , FMDSWFFFDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
47, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2324 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 m2353 (m2324) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , FFDSWFFMDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
48, 2373, m, 2543, f, 2036, m, 2031, f, 2373 2353 2325 2351 2036 2031 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 m2353 (f2325) f2351 m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , FMDSWFFMDDDDD, 2373 2543, 2031 2036, G0, 2, G-2, 3, 5, 8
49, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2351 2036 2031 2015 2012 2842 2836 2437 2220 2463 , m2466 f2212 (f2351) m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2463 , MMSWFFFDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
50, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2358 2036 2031 2015 2012 2842 2836 2437 2220 2463 , m2466 f2212 (m2358) m2036 f2031 m2015 m2012 (m2842) f2836 f2437 f2220 f2463 , MFSWFFFDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
51, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2351 2036 2031 2015 2012 2843 2836 2437 2220 2463 , m2466 f2212 (f2351) m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2463 , MMSWFFMDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
52, 2466, m, 2463, f, 2036, m, 2031, f, 2466 2212 2358 2036 2031 2015 2012 2843 2836 2437 2220 2463 , m2466 f2212 (m2358) m2036 f2031 m2015 m2012 (f2843) f2836 f2437 f2220 f2463 , MFSWFFMDDDD, 2463 2466, 2031 2036, G1, 1, G-1, 3, 4, 7
53, 2036, m, 2031, f, 4918, m, 2520, f, 2036 2358 2511 2512 2520 4918 4711 6515 2842 2012 2015 2031 , m2036 m2358 (m2511) m2512 f2520 m4918 f4711 f6515 (m2842) m2012 m2015 f2031 , FFSDHMMFSSD, 2031 2036, 2520 4918, G0, 2, G0, 3, 5, 6
54, 2036, m, 2031, f, 4918, m, 2520, f, 2036 2358 2511 2512 2520 4918 4711 6515 2843 2012 2015 2031 , m2036 m2358 (m2511) m2512 f2520 m4918 f4711 f6515 (f2843) m2012 m2015 f2031 , FFSDHMMMSSD, 2031 2036, 2520 4918, G0, 2, G0, 3, 5, 6
55, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2006 2162 2166 2835 2437 2438 2037 , m2032 m2015 f2010 (m2006) f2162 m2166 (m2835) f2437 m2438 f2037 , FMFDHFDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
56, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2006 2162 2166 2836 2437 2438 2037 , m2032 m2015 f2010 (m2006) f2162 m2166 (f2836) f2437 m2438 f2037 , FMFDHMDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
57, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2007 2162 2166 2835 2437 2438 2037 , m2032 m2015 f2010 (f2007) f2162 m2166 (m2835) f2437 m2438 f2037 , FMMDHFDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
58, 2032, m, 2037, f, 2166, m, 2162, f, 2032 2015 2010 2007 2162 2166 2836 2437 2438 2037 , m2032 m2015 f2010 (f2007) f2162 m2166 (f2836) f2437 m2438 f2037 , FMMDHMDSD, 2032 2037, 2162 2166, G2, 1, G-2, 1, 5, 4
59, 2373, m, 2376, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFFDDDDD, 2373 2376, 2032 2037, G0, 3, G-2, 3, 7, 8
60, 2373, m, 2376, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFMDDDDD, 2373 2376, 2032 2037, G0, 3, G-2, 3, 7, 8
61, 2373, m, 2543, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFFDDDDD, 2373 2543, 2032 2037, G0, 3, G-2, 3, 7, 8
62, 2373, m, 2543, f, 2032, m, 2037, f, 2373 2360 2530 2798 2796 2440 2037 2032 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2037 m2032 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFMDDDDD, 2373 2543, 2032 2037, G0, 3, G-2, 3, 7, 8
63, 2032, m, 2037, f, 2436, m, 2437, f, 2032 2015 2012 2842 2836 2437 2436 2438 2037 , m2032 m2015 m2012 (m2842) f2836 f2437 (m2436) m2438 f2037 , FFFDDHSD, 2032 2037, 2436 2437, G1, 2, G-2, 0, 6, 2
64, 2032, m, 2037, f, 2436, m, 2437, f, 2032 2015 2012 2843 2836 2437 2436 2438 2037 , m2032 m2015 m2012 (f2843) f2836 f2437 (m2436) m2438 f2037 , FFMDDHSD, 2032 2037, 2436 2437, G1, 2, G-2, 0, 6, 2
65, 2032, m, 2037, f, 2438, m, 2440, f, 2032 2015 2012 2842 2836 2437 2438 2440 2037 , m2032 m2015 m2012 (m2842) f2836 f2437 m2438 (f2440) f2037 , FFFDDSWD, 2032 2037, 2438 2440, G0, 3, G-1, 0, 7, 1
66, 2032, m, 2037, f, 2438, m, 2440, f, 2032 2015 2012 2843 2836 2437 2438 2440 2037 , m2032 m2015 m2012 (f2843) f2836 f2437 m2438 (f2440) f2037 , FFMDDSWD, 2032 2037, 2438 2440, G0, 3, G-1, 0, 7, 1
67, 2032, m, 2037, f, 2835, m, 2836, f, 2032 2015 2012 2842 2836 2835 2437 2438 2037 , m2032 m2015 m2012 (m2842) f2836 (m2835) f2437 m2438 f2037 , FFFDHDSD, 2032 2037, 2835 2836, G2, 1, G-3, 0, 5, 3
68, 2032, m, 2037, f, 2835, m, 2836, f, 2032 2015 2012 2843 2836 2835 2437 2438 2037 , m2032 m2015 m2012 (f2843) f2836 (m2835) f2437 m2438 f2037 , FFMDHDSD, 2032 2037, 2835 2836, G2, 1, G-3, 0, 5, 3
69, 2032, m, 2037, f, 2842, m, 2843, f, 2032 2015 2012 2842 2843 2836 2437 2438 2037 , m2032 m2015 m2012 (m2842) (f2843) f2836 f2437 m2438 f2037 , FFFWDDSD, 2032 2037, 2842 2843, G3, 0, G-4, 0, 4, 4
70, 2032, m, 2037, f, 2842, m, 2843, f, 2032 2015 2012 2843 2842 2836 2437 2438 2037 , m2032 m2015 m2012 (f2843) (m2842) f2836 f2437 m2438 f2037 , FFMHDDSD, 2032 2037, 2842 2843, G3, 0, G-4, 0, 4, 4
71, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2006 2162 2166 2835 2437 2438 2038 , m2033 m2015 f2010 (m2006) f2162 m2166 (m2835) f2437 m2438 f2038 , FMFDHFDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
72, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2006 2162 2166 2836 2437 2438 2038 , m2033 m2015 f2010 (m2006) f2162 m2166 (f2836) f2437 m2438 f2038 , FMFDHMDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
73, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2007 2162 2166 2835 2437 2438 2038 , m2033 m2015 f2010 (f2007) f2162 m2166 (m2835) f2437 m2438 f2038 , FMMDHFDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
74, 2033, m, 2038, f, 2166, m, 2162, f, 2033 2015 2010 2007 2162 2166 2836 2437 2438 2038 , m2033 m2015 f2010 (f2007) f2162 m2166 (f2836) f2437 m2438 f2038 , FMMDHMDSD, 2033 2038, 2162 2166, G2, 1, G-2, 1, 5, 4
75, 2373, m, 2376, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFFDDDDD, 2373 2376, 2033 2038, G0, 3, G-2, 3, 7, 8
76, 2373, m, 2376, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , MMMDDDHFFMDDDDD, 2373 2376, 2033 2038, G0, 3, G-2, 3, 7, 8
77, 2373, m, 2543, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFFDDDDD, 2373 2543, 2033 2038, G0, 3, G-2, 3, 7, 8
78, 2373, m, 2543, f, 2033, m, 2038, f, 2373 2360 2530 2798 2796 2440 2038 2033 2015 2012 2843 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 f2038 m2033 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2543 , MMMDDDHFFMDDDDD, 2373 2543, 2033 2038, G0, 3, G-2, 3, 7, 8
79, 2033, m, 2038, f, 2436, m, 2437, f, 2033 2015 2012 2842 2836 2437 2436 2438 2038 , m2033 m2015 m2012 (m2842) f2836 f2437 (m2436) m2438 f2038 , FFFDDHSD, 2033 2038, 2436 2437, G1, 2, G-2, 0, 6, 2
80, 2033, m, 2038, f, 2436, m, 2437, f, 2033 2015 2012 2843 2836 2437 2436 2438 2038 , m2033 m2015 m2012 (f2843) f2836 f2437 (m2436) m2438 f2038 , FFMDDHSD, 2033 2038, 2436 2437, G1, 2, G-2, 0, 6, 2
81, 2033, m, 2038, f, 2438, m, 2440, f, 2033 2015 2012 2842 2836 2437 2438 2440 2038 , m2033 m2015 m2012 (m2842) f2836 f2437 m2438 (f2440) f2038 , FFFDDSWD, 2033 2038, 2438 2440, G0, 3, G-1, 0, 7, 1
82, 2033, m, 2038, f, 2438, m, 2440, f, 2033 2015 2012 2843 2836 2437 2438 2440 2038 , m2033 m2015 m2012 (f2843) f2836 f2437 m2438 (f2440) f2038 , FFMDDSWD, 2033 2038, 2438 2440, G0, 3, G-1, 0, 7, 1
83, 2033, m, 2038, f, 2835, m, 2836, f, 2033 2015 2012 2842 2836 2835 2437 2438 2038 , m2033 m2015 m2012 (m2842) f2836 (m2835) f2437 m2438 f2038 , FFFDHDSD, 2033 2038, 2835 2836, G2, 1, G-3, 0, 5, 3
84, 2033, m, 2038, f, 2835, m, 2836, f, 2033 2015 2012 2843 2836 2835 2437 2438 2038 , m2033 m2015 m2012 (f2843) f2836 (m2835) f2437 m2438 f2038 , FFMDHDSD, 2033 2038, 2835 2836, G2, 1, G-3, 0, 5, 3
85, 2033, m, 2038, f, 2842, m, 2843, f, 2033 2015 2012 2842 2843 2836 2437 2438 2038 , m2033 m2015 m2012 (m2842) (f2843) f2836 f2437 m2438 f2038 , FFFWDDSD, 2033 2038, 2842 2843, G3, 0, G-4, 0, 4, 4
86, 2033, m, 2038, f, 2842, m, 2843, f, 2033 2015 2012 2843 2842 2836 2437 2438 2038 , m2033 m2015 m2012 (f2843) (m2842) f2836 f2437 m2438 f2038 , FFMHDDSD, 2033 2038, 2842 2843, G3, 0, G-4, 0, 4, 4
87, 2457, m, 2035, f, 2166, m, 2162, f, 2457 2438 2437 2835 2166 2162 2006 2010 2015 2035 , m2457 m2438 f2437 (m2835) m2166 f2162 (m2006) f2010 m2015 f2035 , FMFSWFDSD, 2035 2457, 2162 2166, G2, 1, G-2, 1, 5, 4
88, 2457, m, 2035, f, 2166, m, 2162, f, 2457 2438 2437 2836 2166 2162 2006 2010 2015 2035 , m2457 m2438 f2437 (f2836) m2166 f2162 (m2006) f2010 m2015 f2035 , FMMSWFDSD, 2035 2457, 2162 2166, G2, 1, G-2, 1, 5, 4
89, 2457, m, 2035, f, 2166, m, 2162, f, 2457 2438 2437 2835 2166 2162 2007 2010 2015 2035 , m2457 m2438 f2437 (m2835) m2166 f2162 (f2007) f2010 m2015 f2035 , FMFSWMDSD, 2035 2457, 2162 2166, G2, 1, G-2, 1, 5, 4
90, 2457, m, 2035, f, 2166, m, 2162, f, 2457 2438 2437 2836 2166 2162 2007 2010 2015 2035 , m2457 m2438 f2437 (f2836) m2166 f2162 (f2007) f2010 m2015 f2035 , FMMSWMDSD, 2035 2457, 2162 2166, G2, 1, G-2, 1, 5, 4
91, 2373, m, 2376, f, 2457, m, 2035, f, 2373 2360 2530 2798 2796 2440 2457 2035 2015 2012 2842 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 m2457 f2035 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2376 , MMMDDSWFFFDDDDD, 2373 2376, 2035 2457, G0, 3, G-2, 3, 7, 8
92, 2373, m, 2376, f, 2457, m, 2035, f, 2373 2360 2530 2798 2796 2440 2457 2035 2015 2012 2843 2836 2437 2220 2461 2376 , m2373 f2360 f2530 (f2798) f2796 f2440 m2457 f2035 m2015 m2012 (f2843) f2836 f2437 f2220 f2461 f2376 , MMMDDSWFFMDDDDD, 2373 2376, 2035 2457, G0, 3, G-2, 3, 7, 8
93, 2373, m, 2543, f, 2457, m, 2035, f, 2373 2360 2530 2798 2796 2440 2457 2035 2015 2012 2842 2836 2437 2220 2461 2543 , m2373 f2360 f2530 (f2798) f2796 f2440 m2457 f2035 m2015 m2012 (m2842) f2836 f2437 f2220 f2461 f2543 , MMMDDSWFFFDDDDD, 2373 2543, 2035 2457, G0, 3, G-2, 3, 7, 8
